municipio;nota_imputada;var_transf_secretaria;var_perc_transf_secretaria;var_transf_perc_rc2017_secretaria;pop;receitas_correntes_2017
GUAPIARA;FALSE;0,0794715041053351;0,0120184974097738;0,00163977111265727;17998;48,46499825
GUARA;FALSE;0,300345487960573;0,0241906852538065;0,00463613481568273;19858;64,78359666
GUARACAI;FALSE;-2,5507306776323;-0,316739562894701;-0,0868481739131699;8435;29,36999781
GUARACI;FALSE;-1,48552510969102;-0,108877123029359;-0,0297722548103548;9976;49,89629167
GUARANI D'OESTE;FALSE;-0,788642857459239;-0,444100338387348;-0,0529210109980613;1970;14,90226363
GUARANTA;TRUE;-2,69513302346296;-0,457493140808373;-0,120801887972768;6404;22,31035515
GUARARAPES;FALSE;-2,31634760331602;-0,105927389141367;-0,0255825555110375;30597;90,54402725
GUARAREMA;FALSE;3,99197778113522;0,149951761375209;0,0242738265161978;25844;164,45605634
GUARATINGUETA;FALSE;3,78864695789454;0,0621803279857311;0,0122550549239822;112072;309,14973302
GUAREI;FALSE;-0,91334249614832;-0,10325537346597;-0,0214536642277021;14565;42,57279719
GUARIBA;FALSE;1,98527812935123;0,0942499921456112;0,0181115190640994;35486;109,61411477
GUARUJA;FALSE;8,68977248466835;0,0773877593381007;0,00685147313626238;290752;1268,30716721
GUARULHOS;FALSE;35,6612158728377;0,037779055682285;0,00863509964444136;1221979;4129,79784151
GUATAPARA;FALSE;-1,011816902789;-0,159813014369289;-0,0318539083574593;6966;31,76429377
GUZOLANDIA;FALSE;-0,961314493879106;-0,223105987308287;-0,0500557928503049;4754;19,20486
HERCULANDIA;TRUE;-2,77351359604989;-0,384154291845177;-0,107955386917249;8696;25,69129411
HOLAMBRA;FALSE;0,907111838351552;0,0584644165915725;0,013010236661126;11299;69,72293141
HORTOLANDIA;FALSE;23,3606855565085;0,146507493482714;0,0320351749322255;192692;729,21985305
IACANGA;FALSE;-1,90944475108378;-0,13885391110268;-0,0407502229064614;10013;46,85728359
IACRI;TRUE;-2,35341925397958;-0,446519953093291;-0,117038362915485;6419;20,10810127
IARAS;FALSE;-1,43163946256589;-0,206397606296191;-0,0537457480505023;6376;26,63725996
IBATE;FALSE;1,96874396827926;0,151008848682865;0,02211080868771;30734;89,03988977
IBIRA;FALSE;0,383889321877829;0,0692611410473769;0,0097912606006471;10896;39,20734393
IBIRAREMA;FALSE;-1,18568613303227;-0,232786944633637;-0,0461415090744645;6725;25,69673504
IBITINGA;FALSE;-3,45624772255058;-0,124770080690755;-0,0242325272452958;53158;142,62844678
IBIUNA;FALSE;3,24626793745325;0,10083907908635;0,0164307462103852;71217;197,57276364
ICEM;FALSE;-1,24998736592334;-0,137992176499499;-0,0361286344452614;7462;34,59824555
IEPE;FALSE;-1,97725340523807;-0,177603587627148;-0,0576948901916462;7628;34,27085828
IGARACU DO TIETE;FALSE;-1,16476344150931;-0,20895475378942;-0,0192076371683592;23362;60,6406416
IGARAPAVA;FALSE;-0,845612205580501;-0,0378734032043114;-0,0097797163557165;27952;86,46592343
IGARATA;FALSE;-0,656547887587311;-0,147019686398223;-0,0160919492607624;8831;40,79977366
IGUAPE;FALSE;-5,32664231167673;-0,396339914157998;-0,0509955339372267;28841;104,45311384
ILHA COMPRIDA;FALSE;-0,0178287922754574;-0,0038676924180358;-0,00019288367489462;9025;92,43287326
ILHA SOLTEIRA;FALSE;0,0575117367260916;0,00135970746522338;0,0004751673683762;25064;121,03469336
ILHABELA;FALSE;4,81457946469371;0,423022068804896;0,0078022971259983;28196;617,07204775
INDAIATUBA;FALSE;29,0420502321133;0,160133439513023;0,0276595626283781;201619;1049,98226553
INDIANA;FALSE;-1,00062823000291;-0,440528526452027;-0,0617331182830969;4825;16,20893708
INDIAPORA;FALSE;-1,0933387852964;-0,235370740927459;-0,0534859529761754;3903;20,44160615
INUBIA PAULISTA;FALSE;-1,02139280046432;-0,348433687235411;-0,0630315313647135;3630;16,20447383
IPAUSSU;FALSE;0,672861977372236;0,0734453281211828;0,0143226079780663;13663;46,97901237
IPERO;FALSE;2,05000336181875;0,221845422071179;0,0233044667922892;28300;87,96611311
IPEUNA;FALSE;-0,544307494028088;-0,07509486429532;-0,0177425550524447;6016;30,67807835
IPIGUA;FALSE;-0,539402758139754;-0,163044478944255;-0,0257087284629751;4463;20,98130831
IPORANGA;FALSE;-5,10188205163691;-0,786707225594332;-0,230397706629666;4299;22,14380571
IPUA;FALSE;-0,847063776527076;-0,0689415696944709;-0,0145236386335082;14148;58,3231102
IRACEMAPOLIS;FALSE;2,45126057902468;0,125583695594017;0,0332949231223683;20029;73,62265322
IRAPUA;FALSE;-1,06209307173711;-0,202491520629369;-0,0466638574646638;7275;22,76050737
IRAPURU;FALSE;-1,31849677357451;-0,384277566064632;-0,0650629775869011;7789;20,26493134
ITABERA;TRUE;-6,66607766943949;-0,380950234430198;-0,119623754094997;17858;55,72536759
ITAI;FALSE;-3,36292615895042;-0,151531567466604;-0,0362737254454479;24008;92,70969876
ITAJOBI;FALSE;-0,82476855954944;-0,0659582804317773;-0,0133143398856098;14556;61,94588441
ITAJU;FALSE;-0,778553730946172;-0,199196004022226;-0,0424687520980412;3246;18,33239011
ITANHAEM;FALSE;12,0392120514709;0,531841572150446;0,0320141106910189;87057;376,05954973
ITAOCA;TRUE;-1,38841774284169;-0,778134335463958;-0,0942221303181009;3228;14,73558004
ITAPECERICA DA SERRA;FALSE;15,2934713038923;0,249053231226339;0,0391817514894663;152614;390,3212777
ITAPETININGA;FALSE;4,49079342444634;0,0578388882252087;0,0107256818613093;144377;418,6953783
ITAPEVA;FALSE;6,98746444776847;0,167416351712035;0,0232886346221732;87753;300,03753166
ITAPEVI;FALSE;30,7717230936701;0,148137684550807;0,0469752436728041;200769;655,06255397
ITAPIRA;FALSE;0,451608613142369;0,00807768059464141;0,00179587398148826;68537;251,47010191
ITAPIRAPUA PAULISTA;FALSE;-1,19831249976921;-0,42764557825324;-0,0603656496692491;3880;19,85090041
ITAPOLIS;FALSE;-5,17978876643906;-0,181165231002291;-0,0431295754187356;40051;120,09830183
ITAPORANGA;FALSE;-0,244731612621133;-0,0334398538984889;-0,00613617675994686;14549;39,88340333
ITAPUI;FALSE;-0,0909027252553507;-0,00888952180049273;-0,00186675859374199;12173;48,69549044
