municipio;simulacao;dados_imputados;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;pop;receitas_correntes_2018
ANALANDIA;sim_alt3;TRUE;3,03379866208567;0,414903860781496;0,107270051582416;4293;28,2818794
ANDRADINA;sim_alt3;FALSE;-1,12711761653109;-0,0259871488026835;-0,00637128763835653;55334;176,90578114
ANGATUBA;sim_alt3;FALSE;1,1712644197083;0,0516810966658382;0,013099319676565;22210;89,41414124
ANHEMBI;sim_alt3;FALSE;2,79356674821482;0,31189574284231;0,0773563141327697;5653;36,11297642
ANHUMAS;sim_alt3;FALSE;3,61781614289634;0,920050159021695;NA;3738;NA
APARECIDA;sim_alt3;FALSE;6,1688329312177;0,52334771052367;0,0510898583843454;35007;120,74476474
APARECIDA D'OESTE;sim_alt3;FALSE;3,24530302718247;1,09473322938213;0,166922272496043;4450;19,44200123
APIAI;sim_alt3;FALSE;3,86173492265574;0,304546505953628;0,0523556140194837;25191;73,7597103
ARACARIGUAMA;sim_alt3;FALSE;4,76396945973027;0,174331546465157;0,0405255544017068;17080;117,55470172
ARACATUBA;sim_alt3;FALSE;-14,1629338282624;-0,163547302645778;-0,0257174033368719;181579;550,71399094
ARACOIABA DA SERRA;sim_alt3;FALSE;3,60399935895709;0,296798979766208;0,0363761989973382;27299;99,07575443
ARAMINA;sim_alt3;FALSE;5,66820914699629;1,24081153444924;0,259860061479398;5152;21,81254447
ARANDU;sim_alt3;FALSE;1,14648043017388;0,201253722416867;0,0367846589004225;6123;31,16735249
ARAPEI;sim_alt3;FALSE;2,97990042576825;1,60523689131605;0,181093983130465;2493;16,45499411
ARARAQUARA;sim_alt3;FALSE;-13,7465575924572;-0,111981350203112;-0,0161204643416265;208662;852,73955521
ARARAS;sim_alt3;FALSE;-2,99857990709613;-0,0408070063943312;-0,00572550823615574;118843;523,72292265
ARCO-IRIS;sim_alt3;TRUE;6,28495714664893;1,77942111820219;0,379924228196179;1925;16,54265951
AREALVA;sim_alt3;FALSE;2,01367952451253;0,27385718522877;0,0678654861365547;7841;29,67162897
AREIAS;sim_alt3;FALSE;5,96495434410369;2,13780088141579;0,307640442609271;3696;19,38936992
AREIOPOLIS;sim_alt3;FALSE;4,94307445159358;1,30456834807874;0,154299561125859;10579;32,03557039
ARIRANHA;sim_alt3;FALSE;5,84873650832714;0,325122301919609;0,132717753874962;8547;44,06898352
ARTUR NOGUEIRA;sim_alt3;FALSE;3,71212778323317;0,20175260068541;0,0245188125878016;44177;151,39916625
ARUJA;sim_alt3;FALSE;2,63209809492484;0,0397156484618605;0,00877528108830993;74905;299,94459077
ASPASIA;sim_alt3;TRUE;2,38736598274;1,42325466402314;24,2823067679987;1809;0,0983171
ASSIS;sim_alt3;FALSE;-1,75559141678591;-0,0500501561429781;-0,00499254481255537;95144;351,64259565
ATIBAIA;sim_alt3;FALSE;-2,25020725252064;-0,0294806130411706;-0,00441933726126958;126603;509,17300932
AURIFLAMA;sim_alt3;FALSE;4,02989333365952;0,459312748553153;0,0904848628441089;14202;44,53665737
AVAI;sim_alt3;TRUE;2,82877146323869;0,498329116714718;0,12335312113754;4959;22,93230554
AVANHANDAVA;sim_alt3;FALSE;5,67165586278506;0,772716979882225;0,143014437194361;11310;39,65792527
AVARE;sim_alt3;FALSE;-4,79005936236566;-0,116971605684876;-0,0158406311723591;82934;302,39068824
BADY BASSITT;sim_alt3;FALSE;5,6748369520751;0,734538310922008;0,0905647380864569;14603;62,66055721
BALBINOS;sim_alt3;TRUE;0,324620451997367;0,140763826686122;0,0244868670328588;3702;13,2569206
BALSAMO;sim_alt3;FALSE;6,14352947467066;1,36389582652927;0,229045250767969;8160;26,82233949
BANANAL;sim_alt3;FALSE;5,8787219939097;1,25002396832573;0,166253689842983;10223;35,359949
BARAO DE ANTONINA;sim_alt3;FALSE;1,80463684919903;0,621508365368634;0,111605953939613;3116;16,16971842
BARBOSA;sim_alt3;FALSE;4,35277628768579;0,84745517150658;0,17381024034923;6593;25,04326718
BARIRI;sim_alt3;FALSE;2,68431218201648;0,141630440549172;0,0251696137180529;31593;106,64892247
BARRA BONITA;sim_alt3;FALSE;3,32734274327212;0,112782980321542;0,0252353320168223;35246;131,85254472
BARRA DO CHAPEU;sim_alt3;FALSE;1,9516968111993;0,698651714515402;0,116156928994713;5244;16,80224183
BARRA DO TURVO;sim_alt3;FALSE;3,90619689754524;0,455666766072392;0,10962088711546;7729;35,63369172
BARRETOS;sim_alt3;FALSE;-4,94533022577925;-0,0834630680468395;-0,00891921930613241;112101;554,45774524
BARRINHA;sim_alt3;FALSE;5,73016506610067;0,705812370348999;0,0682343079811285;28496;83,97777065
BARUERI;sim_alt3;FALSE;-10,3379022467955;-0,0181276955027577;-0,00351672233555831;240749;2939,64130812
BASTOS;sim_alt3;TRUE;1,84297960187684;0,0984611877723218;0,0265111987349661;20445;69,51702261
BATATAIS;sim_alt3;FALSE;0,668373155891551;0,0198255092993974;0,00356539379470604;56476;187,46124394
BAURU;sim_alt3;FALSE;-23,5328264681159;-0,153599695054936;-0,020848674512503;343937;1128,74448944
BEBEDOURO;sim_alt3;FALSE;-0,572326086208221;-0,0118903432557848;-0,00211340190254613;75035;270,8079734
BENTO DE ABREU;sim_alt3;TRUE;4,05587327477418;0,706236807204789;0,203916444402739;2674;19,88987836
BERNARDINO DE CAMPOS;sim_alt3;FALSE;2,39669376173696;0,361815629505434;0,0682963192954608;10775;35,0925758
BERTIOGA;sim_alt3;FALSE;6,09917592893218;0,290607015250435;0,0148124476875978;47645;411,76016669
BILAC;sim_alt3;FALSE;6,74216802299694;1,51317123513836;0,230158817663137;7048;29,29354648
BIRIGUI;sim_alt3;FALSE;-2,32123757186544;-0,0473544345436863;-0,00638432600278925;108728;363,58380992
BIRITIBA-MIRIM;sim_alt3;FALSE;5,02172512707773;0,58303581035039;0,0707702351024776;28575;70,95815239
BOA ESPERANCA DO SUL;sim_alt3;FALSE;3,87110307692416;0,414021461870235;0,0749961036856237;13645;51,61738926
BOCAINA;sim_alt3;FALSE;3,89345617293662;0,41182680930678;0,0913875267363074;10859;42,60380286
BOFETE;sim_alt3;FALSE;2,94138022424238;0,401712449939335;0,0740642298087478;9618;39,71391091
BOITUVA;sim_alt3;FALSE;2,96499570631359;0,0693986748175792;0,01415220707565;48314;209,50765421
BOM JESUS DOS PERDOES;sim_alt3;FALSE;5,11835914248216;0,43192168589355;0,0614787780072874;19708;83,25408065
BOM SUCESSO DE ITARARE;sim_alt3;FALSE;1,78998325605302;0,73062712087508;0,10079503554675;3571;17,75864502
BORA;sim_alt3;TRUE;0,167354422793702;0,0574606148979274;0,0116761818343125;805;14,33297504
BORACEIA;sim_alt3;FALSE;7,21258055527273;1,07501808452739;0,291820687174387;4268;24,71579594
BORBOREMA;sim_alt3;TRUE;0,0678444058187324;0,00588646481892005;0,00128791444748902;14529;52,67772712
BOREBI;sim_alt3;FALSE;2,41816648376816;0,587488165431282;0,124541733297971;2293;19,41651541
