municipio;simulacao;nota_imputada;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;var_transf_por_hab_abaixo_15anos;pop;receitas_correntes_2018
NOVA CANAA PAULISTA;sim_10_evolucao_e_nota;FALSE;4,71923415409202;2,41705128965015;0,298373297593136;18149,364877172;2114;15,81654321
SAO JOAO DE IRACEMA;sim_10_evolucao_e_nota;FALSE;4,30021728247917;1,63287299766626;8,51423508666335;18933,0125853227;1780;0,50506208
LOURDES;sim_10_evolucao_e_nota;FALSE;5,42402688120415;2,47538795740234;0,354163450829443;20165,2279477526;2128;15,31503849
BORA;sim_10_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,36542749768154;-0,468815238376075;-0,0952647649124452;-13891,7545203407;805;14,33297504
URU;sim_10_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,86143388152838;-0,591804716021256;-0,133037139202819;-11212,9369994788;1251;13,99183636
ZACARIAS;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;-3,32672682780183;-0,553841755193808;-0,144319371928418;-10491,3284992158;2335;23,05114541
NOVA CASTILHO;sim_10_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,54103107494591;-0,551866401682677;-0,0962745685672572;-9395,09876510234;1125;16,00662665
SANTO ANTONIO DO ARACANGUA;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;-9,25379746707259;-0,569021369694091;-0,196002637874377;-8160,41453332729;7626;47,21261697
MARABA PAULISTA;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;-4,34426376876938;-0,622974430261148;NA;-8075,11589386957;4812;NA
TIMBURI;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;-3,15369274351398;-0,782989382230719;-0,159341703090563;-7887,96681107;2646;19,79201102
SANTANA DA PONTE PENSA;sim_10_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,32967212215574;-0,653691165190491;-0,0944022892889387;-7731,69475275582;1641;14,08516819
ARCO-IRIS;sim_10_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,84333969050282;-0,521893387141059;-0,111429464493816;-7405,87053365404;1925;16,54265951
SANTA CLARA D'OESTE;sim_10_evolucao_e_nota_X_matriculas_municipal;TRUE;-2,09178080992134;-0,58828508768125;-0,120419548614351;-7289,27809740131;2084;17,37077438
ARTUR NOGUEIRA;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;3,68343726909483;0,200193283177927;0,0243293101298359;520,143930886604;44177;151,39916625
COSMOPOLIS;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;4,90206301463803;0,186871097573558;0,0269056860923126;528,409351742011;58827;182,19431379
ITAPEVI;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;20,4155905724842;0,09828238434809;0,0274036904155783;528,793377411958;200769;744,99420563
SAO BERNARDO DO CAMPO;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;59,9806662086677;0,0913868016276333;0,0162541024559325;547,579837147418;765463;3690,18630043
MONGAGUA;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;4,18949600705754;0,31599370328971;0,0185936300355834;553,514112054581;46293;225,31888604
SERRANA;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;3,72599549785025;0,272073706288917;0,0304463917655221;570,125802993211;38878;122,3788857
TABOAO DA SERRA;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;23,2212153680032;0,172946445963153;0,0304775740895882;572,068800163106;244528;761,91153862
DUMONT;sim_10_evolucao_e_nota_X_matriculas_municipal;FALSE;0,735577053577725;0,134823529038428;0,0224848498616563;575,365855693902;8143;32,71434135
