municipio;simulacao;nota_imputada;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;var_transf_por_hab_abaixo_15anos;pop;receitas_correntes_2018
FLOREAL;sim_25_nota;FALSE;10,9570262905472;3,47183657728549;47,2762188786914;31950,0298025012;3003;0,23176613
FLORIDA PAULISTA;sim_25_nota;FALSE;9,19060740086824;1,35043348332318;0,250328940951034;5271,43479595461;12848;36,71412249
FLORINEA;sim_25_nota;TRUE;7,62091678574879;1,33847056475599;0,340448803792025;18019,0993325195;2829;22,3849128
FRANCA;sim_25_nota;FALSE;-21,0384243994839;-0,172336326676021;-0,0269437880688107;-424,329597759548;318640;780,82652468
FRANCISCO MORATO;sim_25_nota;FALSE;-9,28059635527069;-0,38416336268449;-0,0271391376343975;-305,126830944857;154472;341,96356864
FRANCO DA ROCHA;sim_25_nota;FALSE;-6,81947028872555;-0,170074690252973;-0,0202720914885005;-308,808748668331;131604;336,39697673
GABRIEL MONTEIRO;sim_25_nota;TRUE;8,0072590244904;3,00126672514616;0,484675808722896;25337,5349957737;2708;16,52085555
GALIA;sim_25_nota;FALSE;10,2987332521103;2,0897158699893;0,406651650334613;10560,3111020776;7011;25,32568906
GARCA;sim_25_nota;FALSE;1,82919233617255;0,0962056247852484;0,0123513715807288;294,419792228529;43115;148,09629232
GASTAO VIDIGAL;sim_25_nota;TRUE;8,56894198678765;2,7385652555361;0,455015915699886;16296,8926086419;4193;18,83218079
GAVIAO PEIXOTO;sim_25_nota;FALSE;5,93472586531675;1,26251190043621;0,166820649809908;8478,5480188236;4419;35,57548704
GENERAL SALGADO;sim_25_nota;FALSE;4,52098972102656;0,505192038988238;1,06612776643489;3349,80309101842;10669;4,24057028
GETULINA;sim_25_nota;FALSE;0,492262563415908;0,0636325473554857;0,0149068946426433;323,39504787301;10765;33,02247552
GLICERIO;sim_25_nota;FALSE;9,995431083349;2,09878138199782;0,458939561412053;14162,8696368666;4565;21,7794061
GUAICARA;sim_25_nota;FALSE;5,02037082209283;0,80596120042726;0,18283735240276;2949,92306798297;10670;27,4581247
GUAIMBE;sim_25_nota;FALSE;7,41646670533041;2,33877656662866;0,294153578913963;8418,0457938871;5425;25,21290658
GUAIRA;sim_25_nota;FALSE;0,878233902295662;0,016723115451243;0,00479158298869846;160,052342913225;37404;183,28679778
GUAPIACU;sim_25_nota;FALSE;3,84411389563869;0,299652661218677;0,0545424992226301;1599,46121541666;17869;70,47924005
GUAPIARA;sim_25_nota;FALSE;5,50108595365372;0,83193074082628;0,105019504814635;1597,75142398459;17998;52,38156439
GUARA;sim_25_nota;FALSE;5,54209925296853;0,446376536515564;0,0777547344198037;1612,28467147612;19858;71,27667909
GUARACAI;sim_25_nota;FALSE;11,020139686069;1,36843699643119;0,331620156951489;9627,69148101545;8435;33,23121184
GUARACI;sim_25_nota;FALSE;5,88904228578383;0,431619753373097;0,108587982910078;3956,57506016035;9976;54,23290983
GUARANI D'OESTE;sim_25_nota;FALSE;13,4820012143504;7,5919806345816;0,876241374696374;49735,868014219;1970;15,38617281
